,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
683,2017-07-09,205.76,1279710.77,274808713.13,12670845.27,41.85
684,2017-07-10,190.55,1904168.17,368656185.14,10766677.1,41.02
685,2017-07-11,224.15,1403985.29,289483936.34,12170662.39,71.86
686,2017-07-12,205.41,949977.28,196303864.51,11220685.11,70.97
687,2017-07-13,197.14,939689.54,181470096.09,10280995.57,69.41
688,2017-07-14,169.1,970745.65,176484014.55,9310249.92,76.1
689,2017-07-15,155.42,2453216.73,374176884.45,6857033.19,71.68
690,2017-07-16,189.97,2036812.69,352420261.18,8893845.88,96.27
691,2017-07-17,227.09,3019202.94,642203465.55,11913048.82,98.7
692,2017-07-18,194.41,2682837.95,576048989.06,9230210.87,105.52
693,2017-07-19,226.33,2295299.03,504434488.1,11525509.9,112.98
694,2017-07-20,216.33,1045580.12,233383296.53,10479929.78,101.46
695,2017-07-21,230.47,667429.85,151128752.55,11147359.63,93.03
696,2017-07-22,228.32,563141.15,128301932.65,10584218.48,83.18
697,2017-07-23,225.48,397799.34,90165893.98,10186419.14,68.21
698,2017-07-24,203.59,1382784.11,285374761.65,8803635.03,58.58
699,2017-07-25,202.88,809346.64,161659275.04,7994288.39,35.79
700,2017-07-26,202.93,504777.47,102009361.91,8499065.86,34.9
701,2017-07-27,191.21,631780.7,123425467.06,7867285.16,27.04
702,2017-07-28,206.14,1010020.82,192325102.02,8877305.98,39.6
703,2017-07-29,196.78,553749.07,110586575.75,8323556.91,40.32
704,2017-07-30,201.33,528822.67,103641349.39,8852379.58,32.11
705,2017-07-31,225.9,1444224.2,314260050.78,10296603.78,44.91
706,2017-08-01,218.12,557162.98,122967812.49,9739440.8,47.07
707,2017-08-02,224.39,417327.69,93201219.53,10156768.49,41.02
708,2017-08-03,220.6,393605.18,87804496.93,9763163.31,38.99
709,2017-08-04,253.09,1049623.56,251531536.79,10812786.87,46.07
710,2017-08-05,264.56,839224.25,219315844.17,11652011.12,45.66
711,2017-08-06,269.94,594385.57,158590573.11,12246396.69,39.86
712,2017-08-07,296.51,804213.25,229459233.36,13050609.94,36.63
713,2017-08-08,295.28,1476327.93,439031586.16,11574282.01,39.34
714,2017-08-09,298.28,576082.58,173781086.18,12150364.59,36.12
715,2017-08-10,309.32,486177.48,146799311.1,12636542.07,22.67
716,2017-08-11,308.02,634507.5,198463746.02,12002034.57,24.35
717,2017-08-12,296.62,709286.89,209757139.86,11292747.68,29.79
718,2017-08-13,299.16,461968.26,138516552.98,11754715.94,15.98
719,2017-08-14,286.52,735205.53,209502360.98,11019510.41,20.1
720,2017-08-15,301.38,487956.1,143590085.64,11507466.51,25.08
721,2017-08-16,300.3,466305.76,141776697.36,11041160.75,22.45
722,2017-08-17,292.62,523133.9,155333057.71,10518026.85,23.14
723,2017-08-18,293.02,458296.55,133331931.88,10976323.4,21.16
724,2017-08-19,298.2,293661.68,86214711.32,11269985.08,21.69
725,2017-08-20,321.85,1147950.71,371320147.37,12417935.79,24.88
726,2017-08-21,313.37,823697.62,255666010.62,11594238.17,25.15
727,2017-08-22,317.4,428625.31,136793702.05,12022863.48,24.96
728,2017-08-23,325.28,352256.9,113467892.46,12375120.38,22.35
729,2017-08-24,330.06,428182.32,142040413.42,12803302.7,21.78
730,2017-08-25,332.86,214806.33,70828266.3,13018109.03,22.0
731,2017-08-26,347.88,336374.92,113661914.42,13354483.95,15.32
732,2017-08-27,347.66,452449.22,155518324.93,12902034.73,10.21
733,2017-08-28,372.35,674865.15,245077133.04,13576899.88,16.91
734,2017-08-29,383.86,651250.58,247280361.72,14228150.46,16.93
735,2017-08-30,388.33,335126.62,129260777.23,14563277.08,17.14
