Date,close,VOLALITY7day
2018-01-28,13.54,34.98
2018-01-29,11.35,53.53
2018-01-30,11.98,56.78
2018-01-31,10.03,68.0
2018-02-01,10.23,68.91
2018-02-02,10.64,70.44
2018-02-03,8.89,78.18
2018-02-04,7.06,85.57
2018-02-05,8.29,103.01
2018-02-06,7.67,96.51
2018-02-07,8.31,101.27
2018-02-08,9.48,109.83
2018-02-09,8.9,98.97
2018-02-10,8.33,71.86
2018-02-11,9.13,62.56
2018-02-12,8.94,56.77
2018-02-13,9.85,58.33
2018-02-14,9.84,47.88
2018-02-15,9.84,42.67
2018-02-16,10.02,33.47
2018-02-17,9.06,42.0
2018-02-18,9.49,43.15
2018-02-19,8.88,36.4
2018-02-20,8.34,37.77
2018-02-21,7.78,37.99
2018-02-22,8.26,44.55
2018-02-23,7.9,39.3
2018-02-24,7.69,32.43
2018-02-25,7.99,35.7
2018-02-26,8.39,36.07
2018-02-27,8.19,29.9
2018-02-28,8.55,27.65
2018-03-01,8.02,31.01
2018-03-02,7.92,30.05
2018-03-03,8.15,29.22
2018-03-04,7.95,25.76
2018-03-05,7.13,37.51
2018-03-06,6.43,35.72
2018-03-07,6.1,35.4
2018-03-08,6.02,35.35
2018-03-09,5.64,25.97
2018-03-10,6.04,43.57
2018-03-11,5.72,38.94
2018-03-12,5.79,33.84
2018-03-13,5.28,38.73
2018-03-14,5.12,38.59
2018-03-15,5.04,36.58
2018-03-16,4.63,26.74
2018-03-17,4.62,28.65
2018-03-18,6.18,93.61
2018-03-19,5.93,89.66
2018-03-20,6.9,94.11
2018-03-21,6.89,93.32
2018-03-22,6.94,84.44
2018-03-23,6.51,90.3
2018-03-24,6.43,49.94
2018-03-25,5.78,57.84
2018-03-26,5.8,30.41
2018-03-27,6.2,39.83
2018-03-28,5.88,39.87
2018-03-29,6.01,39.76
2018-03-30,5.93,39.76
2018-03-31,5.6,30.97
2018-04-01,5.82,33.19
2018-04-02,6.02,28.32
2018-04-03,5.67,29.38
2018-04-04,6.33,43.07
2018-04-05,5.84,49.39
2018-04-06,5.9,46.12
2018-04-07,5.98,45.2
2018-04-08,5.86,44.49
2018-04-09,6.0,40.99
2018-04-10,8.52,100.4
2018-04-11,8.83,91.82
2018-04-12,8.82,92.5
2018-04-13,8.71,94.06
2018-04-14,8.53,94.1
2018-04-15,8.12,98.66
2018-04-16,8.5,23.56
2018-04-17,9.04,27.68
2018-04-18,9.48,29.91
2018-04-19,11.45,54.51
2018-04-20,11.14,55.23
2018-04-21,11.3,48.03
2018-04-22,11.62,48.57
2018-04-23,15.11,74.95
2018-04-24,14.46,82.64
2018-04-25,15.44,73.43
2018-04-26,16.61,69.09
2018-04-27,18.78,68.12
2018-04-28,21.41,66.28
2018-04-29,17.46,84.38
2018-04-30,18.74,81.95
2018-05-01,19.23,81.71
2018-05-02,17.67,86.47
2018-05-03,17.05,78.73
2018-05-04,17.77,66.98
2018-05-05,17.39,37.61
2018-05-06,17.8,31.45
2018-05-07,17.96,30.15
2018-05-08,17.79,19.01
2018-05-09,17.32,17.61
2018-05-10,14.82,42.42
2018-05-11,13.95,43.02
2018-05-12,14.59,45.92
2018-05-13,13.8,44.03
2018-05-14,12.8,43.11
2018-05-15,12.67,44.26
2018-05-16,12.23,28.93
2018-05-17,12.91,34.94
2018-05-18,13.12,31.5
2018-05-19,13.95,34.81
2018-05-20,13.43,28.53
2018-05-21,12.11,41.7
2018-05-22,10.67,52.75
2018-05-23,12.75,74.51
2018-05-24,12.18,75.06
2018-05-25,12.21,71.62
2018-05-26,12.44,72.16
2018-05-27,11.51,69.64
2018-05-28,12.14,59.15
2018-05-29,11.88,30.86
2018-05-30,12.23,30.27
2018-05-31,12.23,30.26
2018-06-01,14.62,57.24
2018-06-02,14.52,48.5
2018-06-03,13.43,57.17
2018-06-04,14.15,56.3
2018-06-05,13.91,57.66
2018-06-06,14.6,57.57
2018-06-07,14.01,33.48
2018-06-08,14.11,33.7
2018-06-09,11.01,73.45
2018-06-10,11.3,71.1
2018-06-11,9.98,74.21
2018-06-12,10.0,69.47
2018-06-13,11.25,85.21
2018-06-14,10.54,84.21
2018-06-15,10.54,54.29
2018-06-16,10.34,53.24
2018-06-17,10.73,40.62
2018-06-18,10.7,40.75
2018-06-19,10.43,22.24
2018-06-20,10.41,14.37
2018-06-21,8.53,54.85
2018-06-22,8.37,54.85
2018-06-23,8.05,49.72
2018-06-24,8.18,51.44
2018-06-25,7.36,53.32
2018-06-26,7.99,64.62
2018-06-27,7.38,44.56
2018-06-28,7.75,48.79
2018-06-29,8.12,50.22
2018-06-30,8.13,50.01
2018-07-01,8.98,42.63
2018-07-02,8.81,41.21
2018-07-03,8.91,28.02
2018-07-04,8.85,28.98
