,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
144,2019-04-13,71.87,6145.66,432318.79,422378.03,33.43
145,2019-04-14,59.08,122158.02,7753268.16,300220.01,57.19
146,2019-04-15,57.3,91660.75,5173900.69,208559.26,53.77
147,2019-04-16,55.38,35316.65,1977597.56,173242.61,51.12
148,2019-04-17,59.64,44075.03,2610529.39,217317.64,59.69
149,2019-04-18,59.52,14900.46,885221.55,202417.18,60.2
150,2019-04-19,58.9,30465.36,1820170.98,171951.82,58.59
151,2019-04-20,56.72,17957.38,1018722.2,153994.44,27.73
152,2019-04-21,57.77,14349.72,823185.26,168344.16,27.2
153,2019-04-22,56.14,23413.35,1351387.65,144930.81,26.62
154,2019-04-23,54.36,32702.89,1741349.21,112227.92,14.13
155,2019-04-24,51.77,35849.76,1882003.45,76378.16,15.78
156,2019-04-25,55.04,28839.4,1540909.35,105217.56,27.94
157,2019-04-26,54.51,6759.95,362932.06,98457.61,26.63
158,2019-04-27,54.47,6256.29,346918.74,92201.32,25.55
159,2019-04-28,55.19,21393.64,1169051.32,113594.96,25.34
160,2019-04-29,56.59,13779.53,758864.29,127374.49,24.24
161,2019-04-30,55.98,9865.08,555791.57,117509.41,18.04
162,2019-05-01,55.42,11112.0,616069.39,106397.41,9.799
163,2019-05-02,56.05,13050.9,730171.95,119448.31,9.403
164,2019-05-03,55.56,16123.13,907364.91,103325.18,10.03
165,2019-05-04,56.27,14465.74,823021.29,117790.92,9.995
166,2019-05-05,55.39,6117.45,335828.45,111673.47,8.107999999999999
167,2019-05-06,53.87,4970.26,271455.7,106703.21,10.4
168,2019-05-07,61.02,11785.06,674260.06,118488.27,36.56
169,2019-05-08,57.73,9059.13,532515.53,109429.14,41.4
170,2019-05-09,58.32,7859.49,452848.34,117288.63,41.17
171,2019-05-10,60.88,23029.7,1366915.71,140318.33,42.25
172,2019-05-11,57.73,12496.04,751808.66,127822.29,45.54
173,2019-05-12,60.14,14203.4,845629.39,142025.69,44.74
174,2019-05-13,60.18,18561.03,1113145.85,160586.72,28.71
175,2019-05-14,72.01,33826.64,2267337.11,194413.36,51.49
176,2019-05-15,64.73,25784.4,1735097.88,168628.96,64.65
177,2019-05-16,61.01,18537.32,1096040.86,150091.64,66.94
178,2019-05-17,59.8,3426.37,206772.77,146665.27,65.21
179,2019-05-18,65.34,9131.13,584369.0,155796.4,68.62
180,2019-05-19,63.36,4825.45,302328.3,150970.95,69.65
181,2019-05-20,106.0,287398.96,30085776.05,438369.91,151.46
182,2019-05-21,105.67,133274.62,14195126.05,305095.29,143.67
183,2019-05-22,101.3,39495.02,3956618.19,265600.27,142.29
184,2019-05-23,99.26,17739.24,1763745.66,247861.03,142.31
185,2019-05-24,92.56,25645.24,2361752.21,222215.79,148.18
186,2019-05-25,106.41,93798.51,9932842.56,316014.3,146.38
187,2019-05-26,116.97,71603.28,8289316.19,387617.58,54.26
188,2019-05-27,122.49,36202.35,4390346.92,423819.93,54.33
189,2019-05-28,206.33,275097.5,46645024.95,698917.43,139.33
190,2019-05-29,182.86,344384.1,72798246.49,354533.33,150.22
191,2019-05-30,195.39,67466.85,12642096.23,422000.18,140.88
192,2019-05-31,188.05,22002.73,4179735.89,399997.45,147.22
193,2019-06-01,192.28,14693.63,2777889.89,414691.08,148.51
194,2019-06-02,218.18,135952.18,29755505.86,550643.26,148.36
195,2019-06-03,228.42,69071.83,15225314.55,619715.09,56.92
196,2019-06-04,215.81,56049.49,12348219.87,563665.6,44.78
197,2019-06-05,198.46,79121.02,15090095.4,484544.58,51.27
198,2019-06-06,202.02,33356.63,6699031.34,517901.21,49.57
199,2019-06-07,194.22,28127.96,5465589.49,489773.25,51.21
200,2019-06-08,184.26,28509.55,5372241.45,461263.7,32.6
201,2019-06-09,192.5,22478.91,4213032.26,483742.61,32.19
202,2019-06-10,186.13,10341.59,1934916.89,473401.02,31.0
203,2019-06-11,190.31,13048.57,2473232.24,486449.59,26.18
204,2019-06-12,213.34,50297.68,10590373.6,536747.27,42.12
205,2019-06-13,215.11,17898.34,3763710.4,554645.61,39.21
206,2019-06-14,209.9,9201.06,1941828.03,545444.55,35.41
207,2019-06-15,212.04,16772.46,3573825.31,562217.01,34.74
208,2019-06-16,225.09,26011.41,5843295.01,588228.42,32.11
209,2019-06-17,223.01,14770.82,3292697.32,573457.6,33.98
